"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"219",219,28.9305555555556,36.1,25.6,15.0541666666667,16.3,12.8,28.1253935185185,40.72,18.96,15.8267853793691,24.15,11.029
"220",220,29.2387847222222,36.5,25.43,14.825,16.5,13.4,29.2086458333333,39.97,19.13,15.7897297527707,24.27,10.247
"221",221,29.5554861111111,36.9,25.88,15.4848958333333,16.8,14.1,29.4713425925926,43.22,21.03,15.221754369139,26.13,9.509
"222",222,28.6980208333333,32.5,25.2,15.2010416666667,16.2,14.2,27.5509143518519,40.2,18.72,15.6577834612106,25.72,8.866
"223",223,27.8803472222222,34.2,23.6,14.5557291666667,15.1,13.8,28.1393171296296,41.65,19.46,15.5167658780904,26.18,9.928
"224",224,27.72375,31.6,24.16,14.790625,16.1,13.3,27.2938078703704,41.04,18.94,16.8442972080136,25.09,8.568
"225",225,28.0529182879377,35.6,24.1,15.4427083333333,17.2,14.1,29.5657175925926,43.22,20.25,18.591956202046,27.41,11.029
"226",226,29.2566666666667,36.5,26.08,16.1015625,18.2,14.7,30.2279166666667,42.59,22.32,21.3792258098892,27.7,12.53
"227",227,29.2885416666667,35.7,25.7,16.0958333333333,17.8,14.4,29.7979861111111,42.74,19.79,22.8385997873472,30.849,10.57
"228",228,28.853625,34.2,25.2,16.3098958333333,18.4,14.7,29.1550694444444,41.59,15.96,21.5189869592875,29.165,9.39
"229",229,28.2089583333333,33.7,24.6,16.3791666666667,18.4,14.6,28.8114236111111,41.24,20.82,20.2450479219678,25.38,10.83
"230",230,27.7087916666667,31.29,23.9,15.8270833333333,18.1,13.9,27.5308217592593,40.63,19.27,19.9911383587786,26.695,11.54
"231",231,26.7477619047619,31.4,22.7,15.8859375,17.8,14.4,27.2041435185185,40.14,19.56,18.0960659457167,24.05,11.662
"232",232,27.3571859296482,33.4,22.5,15.6854166666667,17,14.5,27.4055092592593,38.34,19.2,17.383207591179,23.09,9.312
