"","julian","low_soil_mean","low_soil_max","low_soil_min","mid_soil_mean","mid_soil_max","mid_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_ground_mean","low_ground_max","low_ground_min","mid_ground_mean","mid_ground_max","mid_ground_min","high_ground_mean","high_ground_max","high_ground_min","low_air_mean","low_air_max","low_air_min","mid_air_mean","mid_air_max","mid_air_min","high_air_mean","high_air_max","high_air_min"
"73",73,7.35334027777778,9.6,5.778,5.47272222222222,10.49,0.599,NA,NA,NA,7.38371284722222,10.5475,5.235,6.09010138888889,14.1425,-0.0585,NA,NA,NA,10.9974728472222,22.9684,0.44188,5.34137645833333,13.4445,-4.4432,-0.6226185,11.6,-8.566
"74",74,7.75047569444444,10.35,6.049,5.26832986111111,10.18,0.663,NA,NA,NA,7.84694895833333,11.235,5.559,5.8796046875,13.4225,-0.00975,NA,NA,NA,12.870778125,23.1477,3.7794,6.61627361111111,13.5115,1.4047,-0.0284192425,11.19,-4.325
"75",75,8.19460763888889,10.95,6.616,5.05931944444444,10.65,0.666,NA,NA,NA,8.39501111111111,11.7925,6.3297,5.58806284722222,13.5925,-0.46125,NA,NA,NA,13.4414461805556,22.6718,4.7502,4.9869265625,11.731,-7.0436,0.274230583333333,10.32,-4.5659
"76",76,8.58170486111111,10.98,6.984,4.66758680555556,10.6,0.683,NA,NA,NA,8.75808472222222,11.555,6.5667,5.17412743055556,12.7625,-0.822,NA,NA,NA,12.9322913194444,21.6086,2.8555,3.09337345034722,11.7605,-3.7201,2.569968125,10.09,-0.74136
"77",77,8.92243846153846,10.88,7.354,4.64690625,10.49,0.656,NA,NA,NA,9.03224846153846,11.4375,6.9863,5.1598328125,11.6075,0.0475,NA,NA,NA,12.3087471264368,20.9272,4.7424,4.81652895833333,10.377,-1.1633,3.91784797583333,11.98,-1.3322
"78",78,8.71194029850746,10.75,4.996,4.69134375,8.34,0.773,NA,NA,NA,8.74506343283582,11.4625,4.072,5.31244166666667,10.8725,0.29975,NA,NA,NA,11.0657310921348,19.1963,-0.0072804,4.73259197222222,11.1293,-3.4192,1.5696125,10.65,-9.8634
"79",79,8.66301153846154,10.71,4.697,5.20822222222222,9.48,0.764,NA,NA,NA,8.73261038461538,11.395,3.7902,5.94882847222222,12.8525,0.16,NA,NA,NA,11.5676652873563,18.8911,-2.3924,5.63789052083333,13.0435,-4.776,-1.10809083333333,9.4455,-12.8306
"80",80,8.67617537313433,11.03,4.145,5.44686458333333,10.29,0.681,NA,NA,NA,8.76643134328358,11.6525,3.793,6.20795902777778,12.4825,0.1985,NA,NA,NA,11.6516066146067,19.1983,-4.912,5.23960166666667,13.6558,-2.2308,-0.995818333333333,8.6107,-14.8815
"81",81,8.86163846153846,10.93,4.039,5.19769791666667,10.43,0.527,NA,NA,NA,8.96308730769231,11.5675,3.654,5.88440902777778,12.8675,0.49875,NA,NA,NA,10.8244415210728,18.4729,-0.56289,5.13724875347222,14.7863,-4.9931,2.13365925,7.2367,-4.2042
"82",82,8.52693777777778,10.7,3.381,5.203625,10.47,0.605,NA,NA,NA,8.60455955555556,11.21,3.1335,5.93611805555556,13.9975,-0.53675,NA,NA,NA,10.3988658333333,16.4165,4.2235,6.42412417708333,16.9354,-1.916,1.83963160833333,8.9925,-5
